Time-stamp,Pressure_cuff_signal,Force_pulse,Signal_1,Signal_2,Signal_3
0.001,0,3664,53671,45823,0
0.002,0,3664,53671,45807,0
0.003,0,3648,53639,45799,0
0.004,0,3680,53671,45807,0
0.005,0,3664,53679,45791,0
0.006,0,3648,53687,45823,0
0.007,0,3664,53663,45799,0
0.008,0,3696,53663,45799,0
0.009,0,3680,53663,45815,0
0.01,0,3680,53695,45799,0
0.011,0,3664,53655,45791,0
0.012,0,3664,53671,45823,0
0.013,0,3664,53671,45807,0
0.014,0,3696,53671,45807,0
0.015,0,3696,53671,45807,0
0.016,0,3696,53655,45799,0
0.017,0,3664,53655,45791,0
0.018,0,3680,53671,45815,0
0.019,0,3664,53679,45775,0
0.02,0,3696,53663,45831,0
0.021,0,3664,53663,45791,0
0.022,0,3664,53655,45799,0
0.023,0,3664,53671,45807,0
0.024,0,3664,53687,45791,0
0.025,0,3664,53679,45807,0
0.026,0,3680,53639,45783,0
0.027,0,3664,53647,45775,0
0.028,0,3680,53671,45807,0
0.029,0,3664,53639,45791,0
0.03,0,3664,53663,45799,0
0.031,0,3648,53671,45815,0
0.032,0,3664,53663,45815,0
0.033,0,3680,53671,45783,0
0.034,0,3664,53663,45799,0
0.035,0,3680,53671,45807,0
0.036,0,3664,53679,45791,0
0.037,0,3664,53647,45807,0
0.038,0,3680,53663,45799,0
0.039,0,3696,53679,45799,0
0.04,0,3632,53679,45807,0
0.041,0,3680,53687,45807,0
0.042,0,3664,53679,45815,0
0.043,0,3664,53663,45815,0
0.044,0,3648,53663,45799,0
0.045,0,3696,53647,45791,0
0.046,0,3680,53655,45791,0
0.047,0,3664,53671,45799,0
0.048,0,3664,53679,45815,0
0.049,0,3664,53655,45807,0
0.05,0,3680,53663,45807,0
0.051,0,3664,53679,45807,0
0.052,0,3664,53679,45807,0
0.053,0,3664,53639,45775,0
0.054,0,3664,53663,45799,1
0.055,0,3680,53671,45815,0
0.056,0,3664,53663,45783,0
0.057,0,3664,53639,45791,0
0.058,0,3664,53647,45791,0
0.059,0,3696,53679,45799,0
0.06,0,3664,53671,45791,0
0.061,0,3680,53671,45799,0
0.062,0,3680,53663,45815,0
0.063,0,3664,53631,45807,0
0.064,0,3664,53663,45775,0
0.065,0,3664,53671,45807,0
0.066,0,3664,53671,45783,0
0.067,0,3664,53639,45799,0
0.068,0,3664,53671,45799,0
0.069,0,3664,53663,45799,0
0.07,0,3680,53647,45807,0
0.071,0,3664,53639,45791,0
0.072,0,3664,53679,45815,0
0.073,0,3664,53655,45783,0
0.074,0,3680,53679,45783,0
0.075,0,3664,53663,45775,0
0.076,0,3664,53655,45767,0
0.077,0,3664,53663,45783,0
0.078,0,3696,53647,45815,0
0.079,0,3696,53671,45775,0
0.08,0,3664,53647,45791,0
0.081,0,3664,53663,45783,0
0.082,0,3664,53679,45799,0
0.083,0,3664,53639,45791,0
0.084,0,3664,53671,45791,0
0.085,0,3680,53687,45783,0
0.086,0,3664,53663,45815,0
0.087,0,3664,53663,45791,0
0.088,0,3664,53679,45799,0
0.089,0,3664,53663,45815,0
0.09,0,3664,53655,45807,0
0.091,0,3664,53631,45799,0
0.092,0,3680,53647,45775,0
0.093,0,3664,53671,45775,0
0.094,0,3664,53687,45775,0
0.095,0,3664,53671,45775,0
0.096,0,3664,53655,45775,0
0.097,0,3664,53647,45783,0
0.098,0,3696,53655,45799,0
0.099,0,3664,53679,45783,0
0.1,0,3696,53687,45783,0
