Time-stamp,Pressure_cuff_signal,Force_pulse,Signal_1,Signal_2,Signal_3
16.163,11120,3920,53031,44423,2963
16.164,11120,3904,53015,44455,2959
16.165,11120,3952,53015,44455,2951
16.166,11104,3952,53023,44439,2955
16.167,11152,4032,53015,44439,2965
16.168,11152,4000,53023,44447,2965
16.169,11136,4016,53039,44447,2963
16.17,11088,4016,53023,44423,2955
16.171,11152,3984,53007,44423,2943
16.172,11088,4016,53039,44431,2965
16.173,11120,4048,53023,44447,2965
16.174,11152,4080,53031,44415,2965
16.175,11136,4080,53039,44431,2953
16.176,11104,4016,53039,44423,2963
16.177,11120,4048,53023,44447,2963
16.178,11120,4080,53015,44439,2962
16.179,11136,4048,53047,44423,2963
16.18,11152,4048,53023,44415,2948
16.181,11072,4048,53023,44431,2959
16.182,11088,4048,53031,44423,2959
16.183,11136,4176,53031,44415,2964
16.184,11120,4176,53007,44423,2966
16.185,11152,4240,53023,44423,2951
16.186,11152,4240,53015,44415,2955
16.187,11184,4240,53047,44399,2957
16.188,11184,4240,53023,44423,2959
16.189,11136,4224,53031,44399,2963
16.19,11120,4256,53023,44415,2943
16.191,11104,4256,53023,44407,2965
16.192,11152,4208,53023,44399,2963
16.193,11136,4208,53031,44447,2961
16.194,11120,4240,53015,44415,2967
16.195,11152,4240,52999,44415,2954
16.196,11152,4224,52999,44423,2963
16.197,11120,4240,53023,44431,2963
16.198,11152,4240,53039,44423,2963
16.199,11120,4208,53023,44423,2958
16.2,11104,4240,53023,44407,2941
16.201,11136,4256,53015,44415,2961
16.202,11136,4320,53039,44415,2966
16.203,11136,4368,53007,44415,2967
16.204,11168,4384,52999,44407,2955
16.205,11088,4432,53015,44431,2938
16.206,11152,4432,53007,44439,2959
16.207,11184,4432,53031,44391,2958
16.208,11152,4432,53031,44431,2963
16.209,11120,4432,53015,44407,2949
16.21,11152,4432,53023,44399,2955
16.211,11152,4432,53047,44415,2959
16.212,11136,4400,53007,44415,2963
16.213,11136,4416,53015,44399,2964
16.214,11152,4400,53031,44399,2955
16.215,11152,4400,53015,44423,2967
16.216,11136,4400,53023,44423,2965
16.217,11120,4416,53007,44415,2968
16.218,11152,4400,53015,44391,2968
16.219,11152,4464,52999,44391,2954
16.22,11136,4528,53007,44407,2966
16.221,11152,4528,53015,44391,2965
16.222,11120,4656,53031,44407,2964
16.223,11152,4608,53055,44399,2969
16.224,11120,4608,53023,44399,2957
16.225,11152,4656,53015,44391,2967
16.226,11152,4592,53031,44383,2965
16.227,11152,4560,52991,44399,2967
16.228,11136,4560,53039,44415,2967
16.229,11120,4544,53023,44423,2957
16.23,11120,4560,53031,44423,2963
16.231,11120,4560,53031,44407,2969
16.232,11120,4560,53031,44399,2967
16.233,11136,4592,53031,44415,2963
16.234,11152,4560,53015,44423,2957
16.235,11152,4560,53015,44423,2967
16.236,11120,4576,53023,44407,2967
16.237,11120,4656,53023,44415,2966
16.238,11136,4720,52999,44423,2969
16.239,11120,4752,53015,44423,2956
16.24,11120,4752,52999,44423,2966
16.241,11152,4752,53007,44431,2966
16.242,11136,4784,53031,44423,2967
16.243,11152,4768,53047,44431,2956
16.244,11136,4768,53015,44431,2951
16.245,11120,4768,53047,44415,2970
16.246,11152,4768,53015,44447,2969
16.247,11152,4768,53047,44439,2969
16.248,11152,4768,53039,44455,2958
16.249,11120,4768,53015,44431,2961
16.25,11152,4752,53023,44447,2968
16.251,11104,4768,53023,44431,2973
16.252,11152,4752,53031,44439,2969
16.253,11120,4768,53039,44439,2965
16.254,11136,4784,53031,44447,2967
16.255,11152,4784,53039,44439,2968
16.256,11136,4800,53063,44471,2970
16.257,11136,4784,53015,44471,2971
16.258,11168,4848,53031,44455,2961
16.259,11152,4848,53039,44471,2968
16.26,11200,4848,53047,44447,2979
16.261,11136,4848,53055,44479,2981
16.262,11152,4848,53023,44463,2979
16.263,11152,4848,53039,44463,2969
16.264,11168,4848,53023,44479,2976
16.265,11152,4848,53063,44471,2982
16.266,11120,4848,53039,44479,2976
16.267,11152,4816,53063,44471,2984
16.268,11136,4848,53071,44503,2967
16.269,11152,4832,53079,44471,2982
16.27,11152,4800,53063,44495,2979
16.271,11152,4816,53055,44479,2983
16.272,11136,4864,53047,44479,2957
16.273,11152,4848,53039,44487,2970
16.274,11136,4880,53047,44495,2984
16.275,11136,4864,53047,44487,2973
16.276,11184,4944,53055,44495,2983
16.277,11184,4944,53055,44495,2972
16.278,11120,4944,53063,44487,2984
16.279,11120,4976,53063,44495,2981
16.28,11152,4976,53071,44495,2982
16.281,11120,4976,53087,44511,2986
16.282,11136,4976,53063,44495,2975
16.283,11152,4944,53063,44511,2987
16.284,11152,4976,53079,44495,2995
16.285,11136,4960,53071,44487,2987
16.286,11120,4976,53087,44511,2988
16.287,11152,4976,53055,44511,2981
16.288,11120,4960,53063,44527,2995
16.289,11136,4976,53087,44519,2989
16.29,11152,4944,53055,44503,2988
16.291,11152,4960,53079,44487,2997
16.292,11120,4976,53063,44503,2979
16.293,11136,5008,53079,44543,2986
16.294,11152,5024,53055,44519,2989
16.295,11152,5040,53071,44535,2995
16.296,11136,5024,53087,44519,2995
16.297,11152,5008,53079,44527,2975
16.298,11120,5040,53079,44503,2990
16.299,11120,5024,53063,44511,2996
16.3,11136,4784,53095,44535,2994
16.301,11120,5008,53071,44543,2992
16.302,11152,5008,53095,44527,2988
16.303,11136,5008,53063,44527,2991
16.304,11120,5008,53087,44543,2991
16.305,11120,5024,53087,44527,2991
16.306,11152,5008,53087,44535,2988
16.307,11152,5008,53079,44535,2991
16.308,11152,5024,53095,44535,3000
16.309,11152,5008,53063,44527,3005
16.31,11136,5008,53095,44519,3001
16.311,11136,5040,53079,44551,2988
16.312,11152,5072,53079,44543,2997
16.313,11152,5072,53063,44543,3003
16.314,11088,5040,53079,44535,2997
16.315,11120,5040,53095,44511,3003
16.316,11120,5072,53079,44503,2988
16.317,11120,5072,53079,44535,2999
16.318,11152,5056,53071,44551,3003
16.319,11152,5072,53095,44551,3001
16.32,11152,5056,53071,44543,3005
16.321,11136,5056,53079,44535,2987
16.322,11152,5040,53095,44519,2996
16.323,11152,5072,53087,44551,2995
16.324,11152,5072,53079,44567,2999
16.325,11152,5072,53087,44527,3001
16.326,11184,5040,53095,44527,2989
16.327,11184,5072,53095,44551,3003
16.328,11184,5104,53103,44551,3001
16.329,11168,5200,53079,44559,3001
16.33,11152,5200,53079,44527,3006
16.331,11152,5200,53063,44551,2999
16.332,11152,5200,53079,44543,3003
16.333,11184,5200,53087,44559,3004
16.334,11152,5200,53103,44535,3003
16.335,11152,5200,53063,44535,3007
16.336,11136,5200,53111,44559,2991
16.337,11184,5104,53095,44543,3003
16.338,11120,5232,53095,44543,3001
16.339,11136,5216,53087,44567,3001
16.34,11184,5200,53087,44559,3003
16.341,11184,5200,53087,44551,2995
16.342,11136,5200,53087,44535,3001
16.343,11120,5216,53087,44535,3011
16.344,11152,5088,53095,44527,2999
16.345,11152,5104,53087,44567,3004
16.346,11152,5232,53103,44551,2989
16.347,11120,5232,53095,44535,3004
16.348,11152,5248,53095,44559,3004
16.349,11184,5264,53087,44551,3004
16.35,11168,5264,53095,44535,3005
16.351,11152,5232,53095,44575,2991
16.352,11152,5232,53095,44559,3007
16.353,11120,5232,53095,44551,3004
16.354,11136,5232,53079,44567,3015
16.355,11152,5248,53095,44559,3014
16.356,11152,5232,53087,44567,3012
16.357,11136,5248,53111,44559,3003
16.358,11136,5248,53095,44543,3007
16.359,11152,5248,53087,44559,3004
16.36,11152,5232,53111,44559,2997
16.361,11136,5248,53095,44543,2999
16.362,11136,5232,53095,44559,3005
16.363,11136,5264,53103,44559,3005
16.364,11152,5264,53087,44559,2999
16.365,11152,5280,53079,44543,2991
16.366,11152,5280,53079,44559,3001
16.367,11152,5280,53087,44527,3005
16.368,11152,5296,53079,44519,3003
16.369,11184,5296,53071,44527,3004
16.37,11136,5296,53103,44567,2994
16.371,11136,5280,53095,44535,3012
16.372,11152,5280,53087,44559,3002
16.373,11184,5264,53095,44551,3003
16.374,11168,5264,53087,44535,3005
16.375,11136,5280,53103,44567,2999
16.376,11152,5264,53111,44551,3004
16.377,11152,5264,53063,44551,3005
