Time-stamp,Pressure_cuff_signal,Signal_1
16.163,11120,53031
16.164,11120,53015
16.165,11120,53015
16.166,11104,53023
16.167,11152,53015
16.168,11152,53023
16.169,11136,53039
16.17,11088,53023
16.171,11152,53007
16.172,11088,53039
16.173,11120,53023
16.174,11152,53031
16.175,11136,53039
16.176,11104,53039
16.177,11120,53023
16.178,11120,53015
16.179,11136,53047
16.18,11152,53023
16.181,11072,53023
16.182,11088,53031
16.183,11136,53031
16.184,11120,53007
16.185,11152,53023
16.186,11152,53015
16.187,11184,53047
16.188,11184,53023
16.189,11136,53031
16.19,11120,53023
16.191,11104,53023
16.192,11152,53023
16.193,11136,53031
16.194,11120,53015
16.195,11152,52999
16.196,11152,52999
16.197,11120,53023
16.198,11152,53039
16.199,11120,53023
16.2,11104,53023
16.201,11136,53015
16.202,11136,53039
16.203,11136,53007
16.204,11168,52999
16.205,11088,53015
16.206,11152,53007
16.207,11184,53031
16.208,11152,53031
16.209,11120,53015
16.21,11152,53023
16.211,11152,53047
16.212,11136,53007
16.213,11136,53015
16.214,11152,53031
16.215,11152,53015
16.216,11136,53023
16.217,11120,53007
16.218,11152,53015
16.219,11152,52999
16.22,11136,53007
16.221,11152,53015
16.222,11120,53031
16.223,11152,53055
16.224,11120,53023
16.225,11152,53015
16.226,11152,53031
16.227,11152,52991
16.228,11136,53039
16.229,11120,53023
16.23,11120,53031
16.231,11120,53031
16.232,11120,53031
16.233,11136,53031
16.234,11152,53015
16.235,11152,53015
16.236,11120,53023
16.237,11120,53023
16.238,11136,52999
16.239,11120,53015
16.24,11120,52999
16.241,11152,53007
16.242,11136,53031
16.243,11152,53047
16.244,11136,53015
16.245,11120,53047
16.246,11152,53015
16.247,11152,53047
16.248,11152,53039
16.249,11120,53015
16.25,11152,53023
16.251,11104,53023
16.252,11152,53031
16.253,11120,53039
16.254,11136,53031
16.255,11152,53039
16.256,11136,53063
16.257,11136,53015
16.258,11168,53031
16.259,11152,53039
16.26,11200,53047
16.261,11136,53055
16.262,11152,53023
16.263,11152,53039
16.264,11168,53023
16.265,11152,53063
16.266,11120,53039
16.267,11152,53063
16.268,11136,53071
16.269,11152,53079
16.27,11152,53063
16.271,11152,53055
16.272,11136,53047
16.273,11152,53039
16.274,11136,53047
16.275,11136,53047
16.276,11184,53055
16.277,11184,53055
16.278,11120,53063
16.279,11120,53063
16.28,11152,53071
16.281,11120,53087
16.282,11136,53063
16.283,11152,53063
16.284,11152,53079
16.285,11136,53071
16.286,11120,53087
16.287,11152,53055
16.288,11120,53063
16.289,11136,53087
16.29,11152,53055
16.291,11152,53079
16.292,11120,53063
16.293,11136,53079
16.294,11152,53055
16.295,11152,53071
16.296,11136,53087
16.297,11152,53079
16.298,11120,53079
16.299,11120,53063
16.3,11136,53095
16.301,11120,53071
16.302,11152,53095
16.303,11136,53063
16.304,11120,53087
16.305,11120,53087
16.306,11152,53087
16.307,11152,53079
16.308,11152,53095
16.309,11152,53063
16.31,11136,53095
16.311,11136,53079
16.312,11152,53079
16.313,11152,53063
16.314,11088,53079
16.315,11120,53095
16.316,11120,53079
16.317,11120,53079
16.318,11152,53071
16.319,11152,53095
16.32,11152,53071
16.321,11136,53079
16.322,11152,53095
16.323,11152,53087
16.324,11152,53079
16.325,11152,53087
16.326,11184,53095
16.327,11184,53095
16.328,11184,53103
16.329,11168,53079
16.33,11152,53079
16.331,11152,53063
16.332,11152,53079
16.333,11184,53087
16.334,11152,53103
16.335,11152,53063
16.336,11136,53111
16.337,11184,53095
16.338,11120,53095
16.339,11136,53087
16.34,11184,53087
16.341,11184,53087
16.342,11136,53087
16.343,11120,53087
16.344,11152,53095
16.345,11152,53087
16.346,11152,53103
16.347,11120,53095
16.348,11152,53095
16.349,11184,53087
16.35,11168,53095
16.351,11152,53095
16.352,11152,53095
16.353,11120,53095
16.354,11136,53079
16.355,11152,53095
16.356,11152,53087
16.357,11136,53111
16.358,11136,53095
16.359,11152,53087
16.36,11152,53111
16.361,11136,53095
16.362,11136,53095
16.363,11136,53103
16.364,11152,53087
16.365,11152,53079
16.366,11152,53079
16.367,11152,53087
16.368,11152,53079
16.369,11184,53071
16.37,11136,53103
16.371,11136,53095
16.372,11152,53087
16.373,11184,53095
16.374,11168,53087
16.375,11136,53103
16.376,11152,53111
16.377,11152,53063
16.378,11152,53095
16.379,11152,53111
16.38,11136,53087
16.381,11184,53079
16.382,11136,53079
16.383,11152,53079
16.384,11120,53119
16.385,11200,53095
16.386,11152,53087
16.387,11152,53079
16.388,11120,53071
16.389,11120,53111
16.39,11152,53103
16.391,11152,53071
16.392,11168,53087
16.393,11120,53071
16.394,11184,53055
16.395,11136,53063
16.396,11152,53079
16.397,11152,53127
16.398,11120,53095
16.399,11152,53079
16.4,11136,53087
16.401,11120,53063
16.402,11120,53087
16.403,11136,53111
16.404,11120,53095
16.405,11152,53103
16.406,11152,53095
16.407,11136,53055
16.408,11104,53111
16.409,11152,53111
16.41,11136,53063
16.411,11136,53095
16.412,11152,53103
16.413,11136,53095
16.414,11136,53063
16.415,11152,53087
16.416,11152,53063
16.417,11152,53063
16.418,11152,53063
16.419,11152,53087
16.42,11152,53095
16.421,11184,53071
16.422,11120,53103
16.423,11120,53071
16.424,11152,53071
16.425,11136,53087
16.426,11120,53079
16.427,11168,53079
16.428,11152,53079
16.429,11152,53079
16.43,11152,53079
16.431,11152,53095
16.432,11136,53079
16.433,11152,53079
16.434,11136,53063
16.435,11136,53079
16.436,11152,53079
16.437,11152,53087
16.438,11184,53079
16.439,11152,53063
16.44,11152,53079
16.441,11152,53063
16.442,11184,53095
16.443,11152,53079
16.444,11200,53071
16.445,11168,53079
16.446,11136,53055
16.447,11152,53055
16.448,11152,53079
16.449,11136,53063
16.45,11152,53071
16.451,11152,53071
16.452,11168,53063
16.453,11120,53071
16.454,11152,53055
16.455,11136,53087
16.456,11120,53087
16.457,11184,53071
16.458,11152,53039
16.459,11120,53039
16.46,11184,53071
16.461,11152,53055
16.462,11136,53079
16.463,11152,53079
16.464,11152,53071
16.465,11184,53047
16.466,11120,53079
16.467,11120,53071
16.468,11152,53071
16.469,11152,53087
16.47,11152,53055
16.471,11152,53079
16.472,11168,53055
16.473,11184,53055
16.474,11152,53063
16.475,11152,53071
16.476,11152,53039
16.477,11184,53063
16.478,11136,53047
16.479,11136,53071
16.48,11152,53055
16.481,11152,53055
16.482,11184,53055
16.483,11184,53039
16.484,11152,53047
16.485,11152,53071
16.486,11152,53055
16.487,11152,53063
16.488,11152,53047
16.489,11152,53071
16.49,11184,53047
16.491,11152,53055
16.492,11200,53047
16.493,11184,53063
16.494,11184,53055
16.495,11184,53039
16.496,11120,53063
16.497,11168,53071
16.498,11136,53047
16.499,11104,53079
16.5,11184,53039
16.501,11168,53039
16.502,11120,53071
16.503,11136,53047
16.504,11184,53055
16.505,11152,53071
16.506,11152,53063
16.507,11152,53063
16.508,11184,53055
16.509,11184,53047
16.51,11136,53055
16.511,11152,53063
16.512,11184,53063
16.513,11168,53063
16.514,11152,53063
16.515,11152,53039
16.516,11152,53031
16.517,11184,53063
16.518,11136,53039
16.519,11120,53047
16.52,11184,53055
16.521,11184,53047
16.522,11152,53055
16.523,11152,53047
16.524,11152,53015
16.525,11152,53071
16.526,11168,53079
16.527,11152,53039
16.528,11136,53055
16.529,11136,53063
16.53,11168,53055
16.531,11136,53047
16.532,11136,53039
16.533,11152,53015
16.534,11184,53047
16.535,11152,53047
16.536,11120,53039
16.537,11136,53039
16.538,11152,53039
16.539,11136,53039
16.54,11136,53055
16.541,11152,53047
16.542,11152,53063
16.543,11152,53055
16.544,11152,53031
16.545,11136,53071
16.546,11152,53055
16.547,11184,53031
16.548,11152,53047
16.549,11152,53071
16.55,11184,53071
16.551,11152,53039
16.552,11184,53039
16.553,11152,53063
16.554,11152,53047
16.555,11152,53063
16.556,11152,53047
16.557,11152,53031
16.558,11168,53055
16.559,11168,53063
16.56,11136,53087
16.561,11152,53047
16.562,11184,53039
16.563,11152,53047
