Time-stamp,Pressure_cuff_signal,Signal_2
16.163,11120,44423
16.164,11120,44455
16.165,11120,44455
16.166,11104,44439
16.167,11152,44439
16.168,11152,44447
16.169,11136,44447
16.17,11088,44423
16.171,11152,44423
16.172,11088,44431
16.173,11120,44447
16.174,11152,44415
16.175,11136,44431
16.176,11104,44423
16.177,11120,44447
16.178,11120,44439
16.179,11136,44423
16.18,11152,44415
16.181,11072,44431
16.182,11088,44423
16.183,11136,44415
16.184,11120,44423
16.185,11152,44423
16.186,11152,44415
16.187,11184,44399
16.188,11184,44423
16.189,11136,44399
16.19,11120,44415
16.191,11104,44407
16.192,11152,44399
16.193,11136,44447
16.194,11120,44415
16.195,11152,44415
16.196,11152,44423
16.197,11120,44431
16.198,11152,44423
16.199,11120,44423
16.2,11104,44407
16.201,11136,44415
16.202,11136,44415
16.203,11136,44415
16.204,11168,44407
16.205,11088,44431
16.206,11152,44439
16.207,11184,44391
16.208,11152,44431
16.209,11120,44407
16.21,11152,44399
16.211,11152,44415
16.212,11136,44415
16.213,11136,44399
16.214,11152,44399
16.215,11152,44423
16.216,11136,44423
16.217,11120,44415
16.218,11152,44391
16.219,11152,44391
16.22,11136,44407
16.221,11152,44391
16.222,11120,44407
16.223,11152,44399
16.224,11120,44399
16.225,11152,44391
16.226,11152,44383
16.227,11152,44399
16.228,11136,44415
16.229,11120,44423
16.23,11120,44423
16.231,11120,44407
16.232,11120,44399
16.233,11136,44415
16.234,11152,44423
16.235,11152,44423
16.236,11120,44407
16.237,11120,44415
16.238,11136,44423
16.239,11120,44423
16.24,11120,44423
16.241,11152,44431
16.242,11136,44423
16.243,11152,44431
16.244,11136,44431
16.245,11120,44415
16.246,11152,44447
16.247,11152,44439
16.248,11152,44455
16.249,11120,44431
16.25,11152,44447
16.251,11104,44431
16.252,11152,44439
16.253,11120,44439
16.254,11136,44447
16.255,11152,44439
16.256,11136,44471
16.257,11136,44471
16.258,11168,44455
16.259,11152,44471
16.26,11200,44447
16.261,11136,44479
16.262,11152,44463
16.263,11152,44463
16.264,11168,44479
16.265,11152,44471
16.266,11120,44479
16.267,11152,44471
16.268,11136,44503
16.269,11152,44471
16.27,11152,44495
16.271,11152,44479
16.272,11136,44479
16.273,11152,44487
16.274,11136,44495
16.275,11136,44487
16.276,11184,44495
16.277,11184,44495
16.278,11120,44487
16.279,11120,44495
16.28,11152,44495
16.281,11120,44511
16.282,11136,44495
16.283,11152,44511
16.284,11152,44495
16.285,11136,44487
16.286,11120,44511
16.287,11152,44511
16.288,11120,44527
16.289,11136,44519
16.29,11152,44503
16.291,11152,44487
16.292,11120,44503
16.293,11136,44543
16.294,11152,44519
16.295,11152,44535
16.296,11136,44519
16.297,11152,44527
16.298,11120,44503
16.299,11120,44511
16.3,11136,44535
16.301,11120,44543
16.302,11152,44527
16.303,11136,44527
16.304,11120,44543
16.305,11120,44527
16.306,11152,44535
16.307,11152,44535
16.308,11152,44535
16.309,11152,44527
16.31,11136,44519
16.311,11136,44551
16.312,11152,44543
16.313,11152,44543
16.314,11088,44535
16.315,11120,44511
16.316,11120,44503
16.317,11120,44535
16.318,11152,44551
16.319,11152,44551
16.32,11152,44543
16.321,11136,44535
16.322,11152,44519
16.323,11152,44551
16.324,11152,44567
16.325,11152,44527
16.326,11184,44527
16.327,11184,44551
16.328,11184,44551
16.329,11168,44559
16.33,11152,44527
16.331,11152,44551
16.332,11152,44543
16.333,11184,44559
16.334,11152,44535
16.335,11152,44535
16.336,11136,44559
16.337,11184,44543
16.338,11120,44543
16.339,11136,44567
16.34,11184,44559
16.341,11184,44551
16.342,11136,44535
16.343,11120,44535
16.344,11152,44527
16.345,11152,44567
16.346,11152,44551
16.347,11120,44535
16.348,11152,44559
16.349,11184,44551
16.35,11168,44535
16.351,11152,44575
16.352,11152,44559
16.353,11120,44551
16.354,11136,44567
16.355,11152,44559
16.356,11152,44567
16.357,11136,44559
16.358,11136,44543
16.359,11152,44559
16.36,11152,44559
16.361,11136,44543
16.362,11136,44559
16.363,11136,44559
16.364,11152,44559
16.365,11152,44543
16.366,11152,44559
16.367,11152,44527
16.368,11152,44519
16.369,11184,44527
16.37,11136,44567
16.371,11136,44535
16.372,11152,44559
16.373,11184,44551
16.374,11168,44535
16.375,11136,44567
16.376,11152,44551
16.377,11152,44551
16.378,11152,44551
16.379,11152,44543
16.38,11136,44543
16.381,11184,44543
16.382,11136,44543
16.383,11152,44551
16.384,11120,44559
16.385,11200,44559
16.386,11152,44543
16.387,11152,44527
16.388,11120,44535
16.389,11120,44559
16.39,11152,44559
16.391,11152,44543
16.392,11168,44551
16.393,11120,44535
16.394,11184,44535
16.395,11136,44543
16.396,11152,44535
16.397,11152,44543
16.398,11120,44551
16.399,11152,44543
16.4,11136,44527
16.401,11120,44527
16.402,11120,44543
16.403,11136,44543
16.404,11120,44527
16.405,11152,44543
16.406,11152,44527
16.407,11136,44535
16.408,11104,44543
16.409,11152,44527
16.41,11136,44551
16.411,11136,44543
16.412,11152,44519
16.413,11136,44535
16.414,11136,44503
16.415,11152,44535
16.416,11152,44535
16.417,11152,44551
16.418,11152,44519
16.419,11152,44519
16.42,11152,44511
16.421,11184,44543
16.422,11120,44535
16.423,11120,44511
16.424,11152,44535
16.425,11136,44519
16.426,11120,44527
16.427,11168,44519
16.428,11152,44511
16.429,11152,44551
16.43,11152,44519
16.431,11152,44511
16.432,11136,44519
16.433,11152,44527
16.434,11136,44503
16.435,11136,44503
16.436,11152,44519
16.437,11152,44511
16.438,11184,44519
16.439,11152,44511
16.44,11152,44511
16.441,11152,44479
16.442,11184,44535
16.443,11152,44511
16.444,11200,44519
16.445,11168,44527
16.446,11136,44503
16.447,11152,44527
16.448,11152,44503
16.449,11136,44527
16.45,11152,44511
16.451,11152,44487
16.452,11168,44487
16.453,11120,44511
16.454,11152,44511
16.455,11136,44519
16.456,11120,44511
16.457,11184,44519
16.458,11152,44503
16.459,11120,44503
16.46,11184,44511
16.461,11152,44519
16.462,11136,44487
16.463,11152,44519
16.464,11152,44519
16.465,11184,44511
16.466,11120,44487
16.467,11120,44495
16.468,11152,44495
16.469,11152,44511
16.47,11152,44519
16.471,11152,44511
16.472,11168,44487
16.473,11184,44495
16.474,11152,44495
16.475,11152,44511
16.476,11152,44495
16.477,11184,44471
16.478,11136,44479
16.479,11136,44479
16.48,11152,44503
16.481,11152,44479
16.482,11184,44479
16.483,11184,44511
16.484,11152,44495
16.485,11152,44487
16.486,11152,44479
16.487,11152,44487
16.488,11152,44487
16.489,11152,44503
