time,ppg
16.163,53031
16.164,53015
16.165,53015
16.166,53023
16.167,53015
16.168,53023
16.169,53039
16.17,53023
16.171,53007
16.172,53039
16.173,53023
16.174,53031
16.175,53039
16.176,53039
16.177,53023
16.178,53015
16.179,53047
16.18,53023
16.181,53023
16.182,53031
16.183,53031
16.184,53007
16.185,53023
16.186,53015
16.187,53047
16.188,53023
16.189,53031
16.19,53023
16.191,53023
16.192,53023
16.193,53031
16.194,53015
16.195,52999
16.196,52999
16.197,53023
16.198,53039
16.199,53023
16.2,53023
16.201,53015
16.202,53039
16.203,53007
16.204,52999
16.205,53015
16.206,53007
16.207,53031
16.208,53031
16.209,53015
16.21,53023
16.211,53047
16.212,53007
16.213,53015
16.214,53031
16.215,53015
16.216,53023
16.217,53007
16.218,53015
16.219,52999
16.22,53007
16.221,53015
16.222,53031
16.223,53055
16.224,53023
16.225,53015
16.226,53031
16.227,52991
16.228,53039
16.229,53023
16.23,53031
16.231,53031
16.232,53031
16.233,53031
16.234,53015
16.235,53015
16.236,53023
16.237,53023
16.238,52999
16.239,53015
16.24,52999
16.241,53007
16.242,53031
16.243,53047
16.244,53015
16.245,53047
16.246,53015
16.247,53047
16.248,53039
16.249,53015
16.25,53023
16.251,53023
16.252,53031
16.253,53039
16.254,53031
16.255,53039
16.256,53063
16.257,53015
16.258,53031
16.259,53039
16.26,53047
16.261,53055
16.262,53023
16.263,53039
16.264,53023
16.265,53063
16.266,53039
16.267,53063
16.268,53071
16.269,53079
16.27,53063
16.271,53055
16.272,53047
16.273,53039
16.274,53047
16.275,53047
16.276,53055
16.277,53055
16.278,53063
16.279,53063
16.28,53071
16.281,53087
16.282,53063
16.283,53063
16.284,53079
16.285,53071
16.286,53087
16.287,53055
16.288,53063
16.289,53087
16.29,53055
16.291,53079
16.292,53063
16.293,53079
16.294,53055
16.295,53071
16.296,53087
16.297,53079
16.298,53079
16.299,53063
16.3,53095
16.301,53071
16.302,53095
16.303,53063
16.304,53087
16.305,53087
16.306,53087
16.307,53079
16.308,53095
16.309,53063
16.31,53095
16.311,53079
16.312,53079
16.313,53063
16.314,53079
16.315,53095
16.316,53079
16.317,53079
16.318,53071
16.319,53095
16.32,53071
16.321,53079
16.322,53095
16.323,53087
16.324,53079
16.325,53087
16.326,53095
16.327,53095
16.328,53103
16.329,53079
16.33,53079
16.331,53063
16.332,53079
16.333,53087
16.334,53103
16.335,53063
16.336,53111
16.337,53095
16.338,53095
16.339,53087
16.34,53087
16.341,53087
16.342,53087
16.343,53087
16.344,53095
16.345,53087
16.346,53103
16.347,53095
16.348,53095
16.349,53087
16.35,53095
16.351,53095
16.352,53095
16.353,53095
16.354,53079
16.355,53095
16.356,53087
16.357,53111
16.358,53095
16.359,53087
16.36,53111
16.361,53095
16.362,53095
16.363,53103
16.364,53087
16.365,53079
16.366,53079
16.367,53087
16.368,53079
16.369,53071
16.37,53103
16.371,53095
16.372,53087
16.373,53095
16.374,53087
16.375,53103
16.376,53111
16.377,53063
16.378,53095
16.379,53111
16.38,53087
16.381,53079
16.382,53079
16.383,53079
16.384,53119
16.385,53095
16.386,53087
16.387,53079
16.388,53071
16.389,53111
16.39,53103
16.391,53071
16.392,53087
16.393,53071
16.394,53055
16.395,53063
16.396,53079
16.397,53127
16.398,53095
16.399,53079
16.4,53087
16.401,53063
16.402,53087
16.403,53111
16.404,53095
16.405,53103
16.406,53095
16.407,53055
16.408,53111
16.409,53111
16.41,53063
16.411,53095
16.412,53103
16.413,53095
16.414,53063
16.415,53087
16.416,53063
16.417,53063
16.418,53063
16.419,53087
16.42,53095
16.421,53071
16.422,53103
16.423,53071
16.424,53071
16.425,53087
16.426,53079
16.427,53079
16.428,53079
16.429,53079
16.43,53079
16.431,53095
16.432,53079
16.433,53079
16.434,53063
16.435,53079
16.436,53079
16.437,53087
16.438,53079
16.439,53063
16.44,53079
16.441,53063
16.442,53095
16.443,53079
16.444,53071
16.445,53079
16.446,53055
16.447,53055
16.448,53079
16.449,53063
16.45,53071
16.451,53071
16.452,53063
16.453,53071
16.454,53055
16.455,53087
16.456,53087
16.457,53071
16.458,53039
16.459,53039
16.46,53071
16.461,53055
16.462,53079
16.463,53079
16.464,53071
16.465,53047
16.466,53079
16.467,53071
16.468,53071
16.469,53087
16.47,53055
16.471,53079
16.472,53055
16.473,53055
16.474,53063
16.475,53071
16.476,53039
16.477,53063
16.478,53047
16.479,53071
16.48,53055
16.481,53055
16.482,53055
16.483,53039
16.484,53047
16.485,53071
16.486,53055
16.487,53063
16.488,53047
16.489,53071
16.49,53047
16.491,53055
16.492,53047
16.493,53063
16.494,53055
16.495,53039
16.496,53063
16.497,53071
16.498,53047
16.499,53079
16.5,53039
16.501,53039
16.502,53071
16.503,53047
16.504,53055
16.505,53071
16.506,53063
16.507,53063
16.508,53055
16.509,53047
16.51,53055
16.511,53063
16.512,53063
16.513,53063
16.514,53063
16.515,53039
16.516,53031
16.517,53063
16.518,53039
16.519,53047
16.52,53055
16.521,53047
16.522,53055
16.523,53047
16.524,53015
16.525,53071
16.526,53079
16.527,53039
16.528,53055
16.529,53063
16.53,53055
16.531,53047
16.532,53039
16.533,53015
16.534,53047
