peak_number,peak_index,peak_time,peak_amplitude
1,6,16.223008005336965,145.77331718454852
2,133,17.49317745163605,35.98187384222107
3,246,18.623328218815548,56.88531763215316
4,361,19.773481654440705,67.62444626640973
5,477,20.933636424288686,87.81105569591064
6,597,22.133796531027976,100.00057335349771
7,718,23.343957971990097,114.19004218303597
8,837,24.534116744506562,112.47633936337816
9,955,25.714274182800196,129.08556459622946
10,1073,26.894431621093837,133.13544576154638
11,1191,28.07458905938747,141.37576904668805
12,1304,29.20473982656697,95.87708879662793
13,1421,30.374895930637784,89.81235714146506
