window_number,sample_index,amplitude
1,0,5.149015977735672
1,1,0.3936577397267776
1,2,-4.25151590940343
1,3,-8.591921646753972
1,4,-12.495830311682841
1,5,-15.898935183379685
1,6,-18.7983976727558
1,7,-21.245443786975883
1,8,-23.331717850234195
1,9,-25.161708109349046
1,10,-26.815254854029053
1,11,-28.31568850673731
1,12,-29.622524136810977
1,13,-30.658351484628568
1,14,-31.357360413834694
1,15,-31.7090856373299
1,16,-31.778820602814218
1,17,-31.69928475131249
1,18,-31.63856748948299
1,19,-31.761121709321706
1,20,-32.19991790655534
1,21,-33.04215433153272
1,22,-34.31763280530611
1,23,-35.98699819581401
1,24,-37.945145096469226
1,25,-40.05517730741922
1,26,-42.20523409877889
1,27,-44.358220033631795
1,28,-46.564839001341966
1,29,-48.930989639367404
1,30,-51.55050828256701
1,31,-54.42105728821309
1,32,-57.365308006431746
1,33,-59.98813478683857
1,34,-61.69960526000885
1,35,-61.81530701368673
1,36,-59.71765872371173
1,37,-55.032197146588175
1,38,-47.75510941998529
1,39,-38.281694928635055
1,40,-27.32652927084452
1,41,-15.766660049967088
1,42,-4.4608728898811325
1,43,5.89788608031105
1,44,14.855135540377962
1,45,22.187240034201647
1,46,27.845953401059596
1,47,31.897830823805336
1,48,34.48148815977302
1,49,35.778512709713524
1,50,35.98187384222107
1,51,35.25896066213654
1,52,33.72732705598979
1,53,31.45775263767243
1,54,28.498144435194924
1,55,24.90539257823346
1,56,20.7784113394943
1,57,16.283187938106426
1,58,11.652812047808684
1,59,7.151566294200855
1,60,3.015941632753124
1,61,-0.5957678648473498
1,62,-3.6213032348374217
1,63,-6.0809792147039055
1,64,-8.04993852455668
1,65,-9.62959789993391
1,66,-10.924289552462064
1,67,-12.027288996419077
1,68,-13.015967466001477
1,69,-13.948959250989896
1,70,-14.86023783874268
1,71,-15.753281779087807
1,72,-16.60153987572905
1,73,-17.358761094367683
1,74,-17.979188646026635
1,75,-18.442350264150562
1,76,-18.77382872125996
1,77,-19.05733410304918
1,78,-19.434548373588168
1,79,-20.084657624211264
1,80,-21.184613932273265
1,81,-22.868854668831055
1,82,-25.20461703816824
1,83,-28.18186653355774
1,84,-31.710178156833116
1,85,-35.61935052257279
1,86,-39.664350038436716
1,87,-43.53327901853057
1,88,-46.85509302265823
1,89,-49.20822523958644
