time,ppg
16.163,44423
16.164,44455
16.165,44455
16.166,44439
16.167,44439
16.168,44447
16.169,44447
16.17,44423
16.171,44423
16.172,44431
16.173,44447
16.174,44415
16.175,44431
16.176,44423
16.177,44447
16.178,44439
16.179,44423
16.18,44415
16.181,44431
16.182,44423
16.183,44415
16.184,44423
16.185,44423
16.186,44415
16.187,44399
16.188,44423
16.189,44399
16.19,44415
16.191,44407
16.192,44399
16.193,44447
16.194,44415
16.195,44415
16.196,44423
16.197,44431
16.198,44423
16.199,44423
16.2,44407
16.201,44415
16.202,44415
16.203,44415
16.204,44407
16.205,44431
16.206,44439
16.207,44391
16.208,44431
16.209,44407
16.21,44399
16.211,44415
16.212,44415
16.213,44399
16.214,44399
16.215,44423
16.216,44423
16.217,44415
16.218,44391
16.219,44391
16.22,44407
16.221,44391
16.222,44407
16.223,44399
16.224,44399
16.225,44391
16.226,44383
16.227,44399
16.228,44415
16.229,44423
16.23,44423
16.231,44407
16.232,44399
16.233,44415
16.234,44423
16.235,44423
16.236,44407
16.237,44415
16.238,44423
16.239,44423
16.24,44423
16.241,44431
16.242,44423
16.243,44431
16.244,44431
16.245,44415
16.246,44447
16.247,44439
16.248,44455
16.249,44431
16.25,44447
16.251,44431
16.252,44439
16.253,44439
16.254,44447
16.255,44439
16.256,44471
16.257,44471
16.258,44455
16.259,44471
16.26,44447
16.261,44479
16.262,44463
16.263,44463
16.264,44479
16.265,44471
16.266,44479
16.267,44471
16.268,44503
16.269,44471
16.27,44495
16.271,44479
16.272,44479
16.273,44487
16.274,44495
16.275,44487
16.276,44495
16.277,44495
16.278,44487
16.279,44495
16.28,44495
16.281,44511
16.282,44495
16.283,44511
16.284,44495
16.285,44487
16.286,44511
16.287,44511
16.288,44527
16.289,44519
16.29,44503
16.291,44487
16.292,44503
16.293,44543
16.294,44519
16.295,44535
16.296,44519
16.297,44527
16.298,44503
16.299,44511
16.3,44535
16.301,44543
16.302,44527
16.303,44527
16.304,44543
16.305,44527
16.306,44535
16.307,44535
16.308,44535
16.309,44527
16.31,44519
16.311,44551
16.312,44543
16.313,44543
16.314,44535
16.315,44511
16.316,44503
16.317,44535
16.318,44551
16.319,44551
16.32,44543
16.321,44535
16.322,44519
16.323,44551
16.324,44567
16.325,44527
16.326,44527
16.327,44551
16.328,44551
16.329,44559
16.33,44527
16.331,44551
16.332,44543
16.333,44559
16.334,44535
16.335,44535
16.336,44559
16.337,44543
16.338,44543
16.339,44567
16.34,44559
16.341,44551
16.342,44535
16.343,44535
16.344,44527
16.345,44567
16.346,44551
16.347,44535
16.348,44559
16.349,44551
16.35,44535
16.351,44575
16.352,44559
16.353,44551
16.354,44567
16.355,44559
16.356,44567
16.357,44559
16.358,44543
16.359,44559
16.36,44559
16.361,44543
16.362,44559
16.363,44559
16.364,44559
16.365,44543
16.366,44559
16.367,44527
16.368,44519
16.369,44527
16.37,44567
16.371,44535
16.372,44559
