channel,window_index,glucose_mg_dl,systolic_mmhg,diastolic_mmhg,amplitude_sample_0,amplitude_sample_1,amplitude_sample_2,amplitude_sample_3,amplitude_sample_4,amplitude_sample_5,amplitude_sample_6,amplitude_sample_7,amplitude_sample_8,amplitude_sample_9,amplitude_sample_10,amplitude_sample_11,amplitude_sample_12,amplitude_sample_13,amplitude_sample_14,amplitude_sample_15,amplitude_sample_16,amplitude_sample_17,amplitude_sample_18,amplitude_sample_19,amplitude_sample_20,amplitude_sample_21,amplitude_sample_22,amplitude_sample_23,amplitude_sample_24,amplitude_sample_25,amplitude_sample_26,amplitude_sample_27,amplitude_sample_28,amplitude_sample_29,amplitude_sample_30,amplitude_sample_31,amplitude_sample_32,amplitude_sample_33,amplitude_sample_34,amplitude_sample_35,amplitude_sample_36,amplitude_sample_37,amplitude_sample_38,amplitude_sample_39,amplitude_sample_40,amplitude_sample_41,amplitude_sample_42,amplitude_sample_43,amplitude_sample_44,amplitude_sample_45,amplitude_sample_46,amplitude_sample_47,amplitude_sample_48,amplitude_sample_49,amplitude_sample_50,amplitude_sample_51,amplitude_sample_52,amplitude_sample_53,amplitude_sample_54,amplitude_sample_55,amplitude_sample_56,amplitude_sample_57,amplitude_sample_58,amplitude_sample_59,amplitude_sample_60,amplitude_sample_61,amplitude_sample_62,amplitude_sample_63,amplitude_sample_64,amplitude_sample_65,amplitude_sample_66,amplitude_sample_67,amplitude_sample_68,amplitude_sample_69,amplitude_sample_70,amplitude_sample_71,amplitude_sample_72,amplitude_sample_73,amplitude_sample_74,amplitude_sample_75,amplitude_sample_76,amplitude_sample_77,amplitude_sample_78,amplitude_sample_79,amplitude_sample_80,amplitude_sample_81,amplitude_sample_82,amplitude_sample_83,amplitude_sample_84,amplitude_sample_85,amplitude_sample_86,amplitude_sample_87,amplitude_sample_88,amplitude_sample_89,amplitude_sample_90,amplitude_sample_91,amplitude_sample_92,amplitude_sample_93,amplitude_sample_94,amplitude_sample_95,amplitude_sample_96,amplitude_sample_97,amplitude_sample_98,amplitude_sample_99
signal2,8080000000,123.0,140.0,91.0,74.92726376052195,67.43663265095998,59.4116030985996,51.05839454239973,42.66073205623035,34.55621705616398,27.09243679980156,20.571049715289146,15.19345828333018,11.021837016087565,7.969665002283855,5.832711953834773,4.352372520421371,3.2777095268955505,2.3947680135403733,1.5225459976244735,0.4954343537819319,-0.8499664816786529,-2.6689303226060934,-5.074840772560765,-8.09260941144375,-11.634199460784952,-15.520259782020823,-19.54670901639109,-23.577093198034614,-27.626618926699592,-31.895144869371023,-36.72049423493427,-42.45929817009834,-49.336101279810414,-57.308553087084405,-65.97991907280337,-74.576274996106,-82.00489656458757,-87.00222854590012,-88.35048548601097,-85.11146798080247,-76.82110044982629,-63.60409307787397,-46.185157712721605,-25.78789340837182,-3.933646755929766,17.816449914111157,38.10744030523083,55.95908278913833,70.82443910862956,82.546611127257,91.25189738673544,97.2259672834862,100.80737311934931,102.31470500008885,102.00785870064385,100.07562839838174,96.64733486119756,91.82920519494382,85.7508231403941,78.59574471186484,70.60512667004461,62.06277961006215,53.270359393339625,44.51591482716801,36.04680945023605,28.0613580136754,20.712201850565247,14.09948200455689,8.254180157216929,3.1357928108569832,-1.3467132863676994,-5.307849779231381,-8.866578922690465,-12.13207196393018,-15.18788667851787,-18.076922972768802,-20.79639693491625,-23.309429290877002,-25.570862792811063,-27.55895239685132,-29.3007754355583,-30.87925035883028,-32.42386379782273,-34.1030055611164,-36.12816798831033,-38.757645273461215,-42.27896535313128,-46.960736411713576,-52.98133931418298,-60.353023360157096,-68.85855528091192,-78.00776901485662,-87.02061504718351,-94.85074477581882,-100.26275924231291,-101.97184356776097,-98.85093942891152,-90.1840793297674,-75.89404936644823,-56.64892110332344,-33.79000124536741,-9.093355143686663,15.566414720782637
signal2,8080000001,123.0,140.0,91.0,64.20076893305239,55.23053499838243,46.043165122436974,36.853849119546105,27.893128683799667,19.3893443278604,11.546467298154685,4.517676968961405,-1.6172678132483944,-6.8584737865899355,-11.274371921338709,-14.983905776799643,-18.140214869891416,-20.910098147014992,-23.446614560026642,-25.867968820907368,-28.255638360434208,-30.665904915396474,-33.140615219921706,-35.71536873302596,-38.43114391050739,-41.346531723243565,-44.541948004282865,-48.11325656327848,-52.158108890368275,-56.760584999854984,-61.980137854728206,-67.84573886168428,-74.34853699859873,-81.42179704264638,-88.89888707363619,-96.453997127372,-103.54627350972297,-109.39006292840907,-112.97227007227409,-113.14336075659375,-108.79948027242415,-99.13421229409006,-83.89226737770063,-63.534846614013915,-39.24268233014287,-12.73609826578728,14.03884552995299,39.25904553059795,61.50595616994538,79.91610641181687,94.18908360657416,104.48561249846792,111.26558157923752,115.10940417871667,116.56065965655746,116.02719956113235,113.76058712851568,109.89944349941742,104.53843812599273,97.78649235130318,89.79653272757821,80.77136320773737,70.96046965904682,60.653596137017296,50.16551360184938,39.80868412562597,29.860660981031746,20.541262036465298,12.014719637133586,4.415446267041403,-2.1303623036969035,-7.520576267744489,-11.734108441337018,-14.895573303214489,-17.30216327798216,-19.384132083961575,-21.60211778744261,-24.31776486617142,-27.69381091858306,-31.666638619397013,-35.99141905228026,-40.329178726131914,-44.3498383139627,-47.834430695613634,-50.751475893337755,-53.281049199987756,-55.78149031653805,-58.71757108506737,-62.573953587746885,-67.76583133334613,-74.54676553184756,-82.91512346284291,-92.53213377160996,-102.67588040499206,-112.25809765649879,-119.91775068937305,-124.18199763719372,-123.6699489405514,-117.31473149835337,-104.5779226362284,-85.61651197214321,-61.34875381358153,-33.3698351373862,-3.7055463116476943
signal2,8080000002,123.0,140.0,91.0,68.07677854846585,57.408820657796575,47.00154547706886,37.02970557470678,27.64868424686488,18.985139845696537,11.125844314216726,4.1073226261151214,-2.093663458409274,-7.559898638954701,-12.41597846061485,-16.8009129203152,-20.84577525277913,-24.66356841025511,-28.349512969357473,-31.98358488336941,-35.629209545168834,-39.33046257469921,-43.11037981424097,-46.97121235953882,-50.90007626739659,-54.87829117658376,-58.88963978172068,-62.93407225960278,-67.0575588863688,-71.39221035844407,-76.17820676452875,-81.73308883355116,-88.35853834483724,-96.21003838654595,-105.16520289345527,-114.717009394685,-123.91772572002432,-131.40512134925586,-135.53515055969802,-134.62387577546684,-127.27035852606949,-112.69496622333239,-90.99851936666427,-63.247480355361404,-31.335456004388597,2.3483911169888962,35.34518230086202,65.52744743539466,91.37886600797106,112.10514078582668,127.58685502721818,138.22442002384426,144.7330556429317,147.93506273986833,148.5842691814541,147.24831608587948,144.2613523520317,139.74300532677273,133.66713046653015,125.95553580725121,116.57180407606496,105.60082582484566,93.30212770457014,80.1154322910487,66.60354688548315,53.349986752024556,40.854288585266175,29.462184636932662,19.3443751263037,10.51766185024344,2.8905979174417027,-3.68789195075354,-9.392175842908918,-14.398391885776416,-18.87377525522363,-22.97607168283314,-26.861203687639048,-30.68667075483608,-34.596180337063544,-38.689550833751085,-42.999520237584456,-47.49206978050082,-52.08986110685225,-56.70509920179344,-61.26443956057589,-65.72092813929758,-70.0649175839576,-74.34397139656863,-78.68592472922535,-83.30809749361632,-88.4925541431833,-94.51896563104772,-101.57106787983068,-109.6412388048083,-118.44497956560518,-127.35265363111743,-135.35663757224387,-141.100773160133,-142.99902096885245,-139.45725289119758,-129.18058703712387,-111.50640635805925,-86.6658558702393,-55.86787968514781
signal2,8080000003,123.0,140.0,91.0,85.09708683242968,71.41753773741506,58.24300584485049,45.88062555985908,34.527232218991635,24.2664304139093,15.083111308414164,6.893413471535742,-0.4184937221723988,-6.971773345163459,-12.880770458993629,-18.264954649502062,-23.261361440734905,-28.023615613357258,-32.70259714591692,-37.41928675688971,-42.24992580653148,-47.233936467544815,-52.39013678603581,-57.717719026118786,-63.17829345588795,-68.6785006569307,-74.07817522561353,-79.23506183447947,-84.07212622436336,-88.63768546847123,-93.13293854623188,-97.89449824620299,-103.32746277797735,-109.78995131783576,-117.44449394556048,-126.10992704349492,-135.15295459466293,-143.45425738396435,-149.47707393490128,-151.44748695587492,-147.62585037959096,-136.6265060901829,-117.73230864613834,-91.13582486421454,-58.026987215493286,-20.47132547305946,18.910167236286238,57.37649026618759,92.4979551611265,122.47793469778325,146.3075787133785,163.74810897116672,175.17791654173416,181.3700172454362,183.26567047842622,181.78424283205013,177.68741442732403,171.5115960907545,163.57515595228836,154.04485086554504,143.0291662085361,130.6691033193925,117.20337025274708,102.98573134234579,88.44529301507076,74.01199318345107,60.050620565832475,46.83028304877549,34.51996330607971,23.187491650271973,12.797944940481209,3.2257528621564755,-5.708805364397926,-14.18407646037587,-22.324933485701962,-30.183730618960595,-37.765004428039006,-45.07090733089067,-52.13141366770415,-59.00073525927772,-65.7287337965368,-72.331705124116,-78.77955261856377,-84.99667439072847,-90.86864217353079,-96.2607172790634,-101.0594882141861,-105.23034734846256,-108.86514304396215,-112.19909282429651,-115.59265878786375,-119.48292899858463,-124.30884233015738,-130.41385496513027,-137.93277941279123,-146.67304063149246,-156.0062635768087,-164.80307770030223,-171.45829234577795,-174.0415181096709,-170.57745672580197,-159.42186627980948,-139.65389273876383,-111.3760624897336
signal2,8080000004,123.0,140.0,91.0,88.52903373627682,73.64595631394621,59.95063639893945,47.528910877353646,36.306040316945726,26.106033398737996,16.720586875879498,7.965751708848002,-0.29276287946922214,-8.147289163901522,-15.674754387786885,-22.96420717769306,-30.127637060585503,-37.283274169080606,-44.51883650487035,-51.856597480324325,-59.24033789101731,-66.55080337127153,-73.63965033589753,-80.36590310829575,-86.63112317677617,-92.41811743028342,-97.82376770766164,-103.06143645112456,-108.42125551838666,-114.20496443705703,-120.66424466950336,-127.96080609661055,-136.1416750673646,-145.09814449547625,-154.48207354840466,-163.59780540673495,-171.32886326790072,-176.1580721636554,-176.3104253016681,-170.01820546555302,-155.87954539960253,-133.23728578995528,-102.45991359343799,-65.01258032208449,-23.27533925048939,19.847708416471264,61.42278602046796,98.95792635282021,130.7428547100059,155.9909529262188,174.7723655078959,187.782861358212,196.0306482318238,200.53180468037877,202.08676199918264,201.17411619956852,197.95815222259165,192.3828364780552,184.32065528464435,173.7369748322205,160.81405572541698,145.9862658388007,129.8837655526056,113.22502737025079,96.70264315337039,80.88697161213484,66.15816651102489,52.677452374386625,40.40840250035689,29.181567306336987,18.774346614512954,8.977565899199236,-0.36507061920322625,-9.347975281110815,-18.021719260467084,-26.423040236422544,-34.59236337506993,-42.56535443735609,-50.352374165214414,-57.93232740920293,-65.26964019444884,-72.33721407534256,-79.12330900087403,-85.61978426112053,-91.81023213721545,-97.67601631872563,-103.22172040541872,-108.5100540513166,-113.69287002072966,-119.02072954684502,-124.81100476329826,-131.36939331595127,-138.88672648999864,-147.33578767470627,-156.3703977690271,-165.23044654838634,-172.69157607119124,-177.11695098397385,-176.64478070036054,-169.50159956130312,-154.38622956715594,-130.82467677585484,-99.37701543998263,-61.620630425057136
signal2,8080000005,123.0,140.0,91.0,115.75840493999053,100.11307317393681,85.06169030200738,70.82684989586475,57.485817069760934,45.0120309250593,33.30636617837647,22.222248146998528,11.598710951098298,1.2990196006092505,-8.757391425646551,-18.574949683227665,-28.08196047319519,-37.162345099385774,-45.71043044764555,-53.678699161095096,-61.09583439697145,-68.05459357969572,-74.68103106234484,-81.09800176527646,-87.39672899148778,-93.62812214279118,-99.8162430751975,-105.98752809041802,-112.2061903597609,-118.60312626390689,-125.38076004494954,-132.77856470950917,-140.99688617454868,-150.08796930489302,-159.8297850226319,-169.6114887063657,-178.37218247345965,-184.63271310091406,-186.64608093312532,-182.6651143734343,-171.28544997604394,-151.7838147835269,-124.35408041137966,-90.16236366868715,-51.19835338807899,-9.96166670157112,30.935938089118128,69.15296291452651,102.89844762761581,131.06728354263575,153.23753935249886,169.5633723226543,180.59829037608085,187.08452880312888,189.75627705555885,189.20898926604846,185.86610405424787,180.03174260105223,171.97873963968294,162.0154152567836,150.50574526916063,137.85566143711426,124.48793001500957,110.8114330800023,97.18266240167804,83.86862300247726,71.02583009948346,58.70152421558303,46.85662827804026,35.40471770057396,24.252901379677095,13.333539110122546,2.6261135243659757,-7.834224941360037,-17.969027002594398,-27.686992471430674,-36.92024814320823,-45.65320852665978,-53.93115188327833,-61.844204723001305,-69.4977510273289,-76.98175091688118,-84.34254375992678,-91.56637241356064,-98.59339898489267,-105.36714131024756,-111.90164726777755,-118.34070259967376,-124.98223668355602,-132.24377171922666,-140.5637575011439,-150.25925301705047,-161.3696489489528,-173.51454435580663,-185.7978539994868,-196.79380278776821,-204.6448419182923,-207.2872035276538,-202.79164121565887,-189.7603106095074,-167.67458557923683,-137.07843269189158,-99.52568285993505,-57.30393361894597
signal2,8080000006,123.0,140.0,91.0,125.65223560630358,111.3626863153823,97.10924170687092,82.99017242117333,69.05085359171937,55.33136675533275,41.90748752459978,28.90176531312092,16.461277220630247,4.716275700119252,-6.259207366726363,-16.466029094471256,-25.971098321099255,-34.880054721322246,-43.30829597396898,-51.36433924427906,-59.148950701985946,-66.76143288298887,-74.30292590649778,-81.87765938937805,-89.6017137383807,-97.6226244941107,-106.1381464707693,-115.39527343538269,-125.65871486955074,-137.15084833976482,-149.972825359751,-164.01990212317045,-178.89852226480417,-193.84509659405575,-207.66230671053978,-218.72172212322806,-225.09040409140775,-224.80205461042243,-216.2288234114216,-198.45607970560926,-171.54519309979617,-136.59526898177035,-95.57700271560742,-50.9872545340443,-5.430751088347075,38.7490308993665,79.70233041986279,116.14732686725026,147.32461075185986,172.89644992106835,192.844123919658,207.38484514449038,216.90071192642776,221.86539124863646,222.7738936866763,220.10088596766025,214.30134500176624,205.83518504040427,195.18408900820475,182.84277211483126,169.28830917592614,154.9458311535517,140.16934308239502,125.2422696807582,110.38844992014695,95.7830520515001,81.5599346269732,67.81733598858338,54.62195530852492,42.00984562045857,29.989229302396602,18.551169628223573,7.6822396879785275,-2.6316078060349155,-12.413704009176255,-21.712240797248594,-30.60890329426297,-39.20931058741668,-47.620654352265134,-55.93394549803099,-64.22305433096285,-72.55957747650663,-81.03602094933979,-89.79111238797925,-99.03051311974713,-109.03320755210642,-120.13580942609697,-132.6893529474169,-146.97894661149914,-163.09824779672698,-180.79186211274785,-199.30833630695938,-217.32108769043904,-232.96418293328603,-244.00433187821625,-248.14412987596043,-243.4181755566941,-228.59685122691346,-203.4812752810014,-168.99159690086137,-127.01864890293848,-80.09180994970545,-30.966936018347262,17.76164028366094
signal2,8080000007,123.0,140.0,91.0,146.0885912688902,132.6135986866616,119.22714998215211,105.91150346463458,92.70162364713498,79.68864329690739,66.98938953398566,54.694954977357355,42.82441414200449,31.305268990999473,19.980097265151702,8.625577677663326,-3.019614787542677,-15.211138050315256,-28.14136405398321,-41.88379806667952,-56.36250701979008,-71.36787547220145,-86.62049244954646,-101.8548398619848,-116.88703716512109,-131.65165795845925,-146.21029007235944,-160.73453612265007,-175.46145806936656,-190.62140775888756,-206.34366486588394,-222.54661177693106,-238.81879861248945,-254.30495846573527,-267.6303775273722,-276.9188816554045,-279.96211234585843,-274.56311104012593,-259.01446062026,-232.60171568791688,-195.96514854430774,-151.14559539625762,-101.23160332222935,-49.700993847268784,0.2982401265901706,46.46879846972748,87.54829357432453,123.17188756186418,153.53396938515232,179.00628062739705,199.8468007197853,216.07452594443936,227.51754018566587,233.98296835260817,235.4585678843483,232.2527191013265,225.01938620447257,214.67288348436466,202.23855578877016,188.69467299921735,174.84512693196217,161.24358125269615,148.17870640432602,135.71352593245382,123.75155718297471,112.10261339156443,100.53706650875476,88.82605616945166,76.76804966916528,64.20360423388624,51.016904266463925,37.123421832132735,22.45019414872251,6.921221834015518,-9.5345880329126,-26.94291808616192,-45.2296459409567,-64.18893204567678,-83.48801153917343,-102.6918839596403,-121.29538529062916,-138.77620003093915,-154.6821861542689,-168.73488440023027,-180.90918617350053,-191.45657722723632,-200.86191495854797,-209.7489960937316,-218.76066124260714,-228.41615683065123,-238.92613171240197,-249.97872937557108,-260.57147587348203,-268.977090775322,-272.8913651538652,-269.7692200605602,-257.3233203691842,-234.1099340810535,-200.05427493366724,-156.7098566585997,-107.07065687899906,-54.91716128091032,-3.9166574642420993,43.17013374009436
signal2,8080000008,123.0,140.0,91.0,165.25913973086222,150.82505243028436,137.00508393854074,123.52510312906085,110.0879590450235,96.4017053640761,82.19427265095868,67.23012189560512,51.334429234192505,34.41985450246385,16.504022433278948,-2.29221983579594,-21.763291374887785,-41.63996525018483,-61.60175489660303,-81.28449499089785,-100.29569356104238,-118.24315660215397,-134.77472569853686,-149.62708690746723,-162.67816097682447,-173.9917843154981,-183.8418541760374,-192.69805111296915,-201.15310434514709,-209.7896089012331,-219.01105965684815,-228.8705168662773,-238.920806780942,-248.10765106453715,-254.7442607922386,-256.62196177222177,-251.30299527324783,-236.60443611229996,-211.2119767403213,-175.2600727613117,-130.62329853799665,-80.68488897931066,-29.562656780141115,18.92419163397468,62.119857402322076,98.9222149027255,129.6440777499196,155.49707613494783,177.9363600802289,198.08665458203865,216.40107600525369,232.61550541301963,245.95769887364207,255.48406883255853,260.403527558747,260.3035239387297,255.25345031663434,245.79248065503253,232.82493673659204,217.4524690920877,200.77930257376835,183.7386196507809,166.97816251870478,150.81388034866387,135.2483778767638,120.04729612239184,104.8475045133794,89.2604652797047,72.95000411798867,55.683268587553265,37.36151489696562,18.035565744142236,-2.0970019674359497,-22.719287918673643,-43.44358287241547,-63.86356114709373,-83.59157904544642,-102.2759353080723,-119.60717991586678,-135.32343055184106,-149.21459228828897,-161.12348324719161,-170.9535924833098,-178.69688829171085,-184.4802147176805,-188.61339799795198,-191.61687927249554,-194.2036102009522,-197.18869221434133,-201.31295128231827,-207.00099700166894,-214.11550400533125,-221.7836830993809,-228.35116674379717,-231.49574095365267,-228.52492305592756,-216.86159085859683,-194.66777165225412,-161.47812688246796,-118.63999797602007,-69.32406153538612,-17.95420059895716,30.83867822618419,73.34963021526255
signal2,8080000009,123.0,140.0,91.0,179.7849726271935,166.5326579532203,149.82228885090973,129.88162964647927,107.46004186760867,83.66701170801035,59.75256326749579,36.88475658704873,15.98529649009694,-2.345218923572609,-17.826315236314066,-30.455725161282427,-40.44802172083212,-48.15766653775801,-53.99678476328802,-58.37572726110246,-61.68463856105993,-64.29830358292352,-66.57240146444315,-68.81857883882763,-71.26553074215919,-74.02367949149532,-77.07703584799661,-80.31292907342679,-83.57176485022202,-86.69048280877723,-89.53193047414645,-92.00693749976224,-94.09343061977052,-95.84994984921238,-97.42180955367242,-99.04464584846092,-101.0452342285189,-103.81932075357031,-107.75142396140285,-113.05333095452873,-119.53969491404203,-126.40786527853476,-132.1098407329595,-134.39114805699066,-130.55024375373108,-117.94779659555837,-94.73017342598511,-60.60599470763516,-17.388516147606566,31.009044017870565,79.28595706681838,122.00554933547318,154.89251200053317,175.65030862165358,184.07769704135387,181.62336719827002,170.68134637315347,153.89294215626217,133.6081118537731,111.56976055242623,88.83332255533129,65.88611977629165,42.88302062147267,19.89819579966746,-2.886418619651651,-25.099068348887947,-46.20477653129635,-65.60242173460486,-82.73727059142203,-97.19461512891104,-108.77009226689022,-117.51524993131267,-123.74192211522302,-127.97025996063587,-130.82654940249307,-132.9156868195314,-134.7022763097587,-136.43928477028098,-138.17457044137416,-139.83170366717573,-141.3177130742286,-142.5930868084537,-143.67330020954617,-144.59102616350336,-145.3677804276084,-146.00750958059348,-146.49434607348064,-146.78515150429274,-146.80319386041222,-146.4425651687233,-145.59040572970116,-144.16724785365244,-142.176238627664,-139.74578449152057,-137.14855577725268,-134.78307285142813,-133.11178995660487,-132.5524591100892,-133.31818102777655,-135.21672607517942,-137.45577102958504,-138.52938114401778,-136.25859455626738,-128.0343835357943
