time,ppg
16.163,2963
16.164,2959
16.165,2951
16.166,2955
16.167,2965
16.168,2965
16.169,2963
16.17,2955
16.171,2943
16.172,2965
16.173,2965
16.174,2965
16.175,2953
16.176,2963
16.177,2963
16.178,2962
16.179,2963
16.18,2948
16.181,2959
16.182,2959
16.183,2964
16.184,2966
16.185,2951
16.186,2955
16.187,2957
16.188,2959
16.189,2963
16.19,2943
16.191,2965
16.192,2963
16.193,2961
16.194,2967
16.195,2954
16.196,2963
16.197,2963
16.198,2963
16.199,2958
16.2,2941
16.201,2961
16.202,2966
16.203,2967
16.204,2955
16.205,2938
16.206,2959
16.207,2958
16.208,2963
16.209,2949
16.21,2955
16.211,2959
16.212,2963
16.213,2964
16.214,2955
16.215,2967
16.216,2965
16.217,2968
16.218,2968
16.219,2954
16.22,2966
16.221,2965
16.222,2964
16.223,2969
16.224,2957
16.225,2967
16.226,2965
16.227,2967
16.228,2967
16.229,2957
16.23,2963
16.231,2969
16.232,2967
16.233,2963
16.234,2957
16.235,2967
16.236,2967
16.237,2966
16.238,2969
16.239,2956
16.24,2966
16.241,2966
16.242,2967
16.243,2956
16.244,2951
16.245,2970
16.246,2969
16.247,2969
16.248,2958
16.249,2961
16.25,2968
16.251,2973
16.252,2969
16.253,2965
16.254,2967
16.255,2968
16.256,2970
16.257,2971
16.258,2961
16.259,2968
16.26,2979
16.261,2981
16.262,2979
16.263,2969
16.264,2976
16.265,2982
16.266,2976
16.267,2984
16.268,2967
16.269,2982
16.27,2979
16.271,2983
16.272,2957
16.273,2970
16.274,2984
16.275,2973
16.276,2983
16.277,2972
16.278,2984
16.279,2981
16.28,2982
16.281,2986
16.282,2975
16.283,2987
16.284,2995
16.285,2987
16.286,2988
16.287,2981
16.288,2995
16.289,2989
16.29,2988
16.291,2997
16.292,2979
16.293,2986
16.294,2989
16.295,2995
16.296,2995
16.297,2975
16.298,2990
16.299,2996
16.3,2994
16.301,2992
16.302,2988
16.303,2991
16.304,2991
16.305,2991
16.306,2988
16.307,2991
16.308,3000
16.309,3005
16.31,3001
16.311,2988
16.312,2997
16.313,3003
16.314,2997
16.315,3003
16.316,2988
16.317,2999
16.318,3003
16.319,3001
16.32,3005
16.321,2987
16.322,2996
16.323,2995
16.324,2999
16.325,3001
16.326,2989
16.327,3003
16.328,3001
16.329,3001
16.33,3006
16.331,2999
16.332,3003
16.333,3004
16.334,3003
16.335,3007
16.336,2991
16.337,3003
16.338,3001
16.339,3001
16.34,3003
16.341,2995
16.342,3001
16.343,3011
16.344,2999
16.345,3004
16.346,2989
16.347,3004
16.348,3004
16.349,3004
16.35,3005
16.351,2991
16.352,3007
16.353,3004
16.354,3015
16.355,3014
16.356,3012
16.357,3003
16.358,3007
16.359,3004
16.36,2997
16.361,2999
16.362,3005
16.363,3005
16.364,2999
16.365,2991
16.366,3001
16.367,3005
16.368,3003
16.369,3004
16.37,2994
16.371,3012
16.372,3002
16.373,3003
16.374,3005
16.375,2999
16.376,3004
16.377,3005
16.378,3003
16.379,3007
16.38,2989
16.381,3006
16.382,3004
16.383,3007
16.384,3005
16.385,2990
16.386,3005
16.387,3005
16.388,3001
16.389,3005
16.39,2992
16.391,2996
16.392,3003
16.393,3005
