peak_number,peak_index,peak_time,peak_amplitude
1,80,16.963106737826195,32.27286622207449
2,186,18.023248165445903,7.0909291277311635
3,300,19.163400266848228,8.69841099333775
4,419,20.353559039364693,6.368399754793634
5,535,21.513713809212675,15.2117273176092
6,657,22.733876584397624,21.447672156391235
7,778,23.944038025359742,35.715587253577056
8,899,25.154199466321863,23.347316807583354
9,1014,26.304352901947016,26.252446439324785
10,1129,27.45450633757217,16.180438339873422
11,1246,28.624662441642982,15.19122384907113
12,1366,29.824822548382272,13.205524032757065
