window_number,sample_index,amplitude
1,0,4.286144185817783
1,1,3.6635821261508634
1,2,2.987463564293474
1,3,2.300826318455939
1,4,1.6488950769271367
1,5,1.070201266675599
1,6,0.5905120015716662
1,7,0.2208621717489228
1,8,-0.041718190599617254
1,9,-0.21338589892148355
1,10,-0.32319367786949904
1,11,-0.4104247709656127
1,12,-0.5165574027544145
1,13,-0.6737582312284804
1,14,-0.8962814677385399
1,15,-1.1796711771308463
1,16,-1.5066057134128044
1,17,-1.8541273569374068
1,18,-2.1988017496330654
1,19,-2.5202354734688432
1,20,-2.803759790528932
1,21,-3.0418889301169725
1,22,-3.2352394010713694
1,23,-3.393893098026493
1,24,-3.5373769895643075
1,25,-3.690296825000701
1,26,-3.874236792206952
1,27,-4.100243702394156
1,28,-4.365576891295952
1,29,-4.65537849375587
1,30,-4.947316029871679
1,31,-5.215212645703735
1,32,-5.427964491139381
1,33,-5.544821725932595
1,34,-5.5138189082993865
1,35,-5.279721308601382
1,36,-4.800859256001503
1,37,-4.067412683995766
1,38,-3.1111668192868667
1,39,-1.9994298751489625
1,40,-0.8147328965063557
1,41,0.3682158239911923
1,42,1.4961942252188845
1,43,2.538516176232179
1,44,3.4800909805204827
1,45,4.312237530993695
1,46,5.025296890114592
1,47,5.605309620873134
1,48,6.034526110736955
1,49,6.294084623874375
1,50,6.368399754793634
1,51,6.2516294301605635
1,52,5.954389981928135
1,53,5.506410241706339
1,54,4.952094713000483
1,55,4.341065911264139
1,56,3.719810177731961
1,57,3.1278045941114745
1,58,2.5950164136679406
1,59,2.1375702063543844
1,60,1.7546224531103678
1,61,1.4313618850709848
1,62,1.1479864376582205
1,63,0.8896718385464573
1,64,0.6517291241202631
1,65,0.4370355846716701
1,66,0.2480790413261579
1,67,0.07932357591651994
1,68,-0.08540501186225083
1,69,-0.26867706755640014
1,70,-0.4897497261860577
1,71,-0.7546750844656086
1,72,-1.0527750722045508
1,73,-1.3615785189154572
1,74,-1.6563888702234184
1,75,-1.9190452261614008
1,76,-2.142350413766335
1,77,-2.32903504242274
1,78,-2.4867503734662737
1,79,-2.6225854429056157
1,80,-2.739999081560499
1,81,-2.839040304021678
1,82,-2.919864860523176
1,83,-2.9886300048565158
1,84,-3.062398662130889
1,85,-3.1691323735331838
1,86,-3.3423218986919134
1,87,-3.6128441096428
1,88,-4.00010983567689
1,89,-4.503592898014145
1,90,-5.096558374655466
1,91,-5.724010179736846
1,92,-6.305680733161443
1,93,-6.744663967155973
1,94,-6.942325548323913
1,95,-6.816721826232202
1,96,-6.3180389545389835
1,97,-5.4362943675824615
1,98,-4.200591490180835
1,99,-2.6712466473469756
2,0,6.46418942252719
2,1,5.391993535838977
2,2,4.121675846340416
2,3,2.724573759218251
2,4,1.307125567675192
2,5,-0.023460285290739444
2,6,-1.189779556759566
