window_number,sample_index,amplitude
1,0,74.92726376052195
1,1,67.43663265095998
1,2,59.4116030985996
1,3,51.05839454239973
1,4,42.66073205623035
1,5,34.55621705616398
1,6,27.09243679980156
1,7,20.571049715289146
1,8,15.19345828333018
1,9,11.021837016087565
1,10,7.969665002283855
1,11,5.832711953834773
1,12,4.352372520421371
1,13,3.2777095268955505
1,14,2.3947680135403733
1,15,1.5225459976244735
1,16,0.4954343537819319
1,17,-0.8499664816786529
1,18,-2.6689303226060934
1,19,-5.074840772560765
1,20,-8.09260941144375
1,21,-11.634199460784952
1,22,-15.520259782020823
1,23,-19.54670901639109
1,24,-23.577093198034614
1,25,-27.626618926699592
1,26,-31.895144869371023
1,27,-36.72049423493427
1,28,-42.45929817009834
1,29,-49.336101279810414
1,30,-57.308553087084405
1,31,-65.97991907280337
1,32,-74.576274996106
1,33,-82.00489656458757
1,34,-87.00222854590012
1,35,-88.35048548601097
1,36,-85.11146798080247
1,37,-76.82110044982629
1,38,-63.60409307787397
1,39,-46.185157712721605
1,40,-25.78789340837182
1,41,-3.933646755929766
1,42,17.816449914111157
1,43,38.10744030523083
1,44,55.95908278913833
1,45,70.82443910862956
1,46,82.546611127257
1,47,91.25189738673544
1,48,97.2259672834862
1,49,100.80737311934931
1,50,102.31470500008885
1,51,102.00785870064385
1,52,100.07562839838174
1,53,96.64733486119756
1,54,91.82920519494382
1,55,85.7508231403941
1,56,78.59574471186484
1,57,70.60512667004461
1,58,62.06277961006215
1,59,53.270359393339625
1,60,44.51591482716801
1,61,36.04680945023605
1,62,28.0613580136754
1,63,20.712201850565247
1,64,14.09948200455689
1,65,8.254180157216929
1,66,3.1357928108569832
1,67,-1.3467132863676994
1,68,-5.307849779231381
1,69,-8.866578922690465
1,70,-12.13207196393018
1,71,-15.18788667851787
1,72,-18.076922972768802
1,73,-20.79639693491625
1,74,-23.309429290877002
1,75,-25.570862792811063
1,76,-27.55895239685132
1,77,-29.3007754355583
1,78,-30.87925035883028
1,79,-32.42386379782273
1,80,-34.1030055611164
1,81,-36.12816798831033
1,82,-38.757645273461215
1,83,-42.27896535313128
1,84,-46.960736411713576
1,85,-52.98133931418298
1,86,-60.353023360157096
1,87,-68.85855528091192
1,88,-78.00776901485662
1,89,-87.02061504718351
1,90,-94.85074477581882
1,91,-100.26275924231291
1,92,-101.97184356776097
1,93,-98.85093942891152
1,94,-90.1840793297674
1,95,-75.89404936644823
1,96,-56.64892110332344
1,97,-33.79000124536741
1,98,-9.093355143686663
1,99,15.566414720782637
2,0,64.20076893305239
2,1,55.23053499838243
2,2,46.043165122436974
2,3,36.853849119546105
2,4,27.893128683799667
2,5,19.3893443278604
2,6,11.546467298154685
2,7,4.517676968961405
2,8,-1.6172678132483944
2,9,-6.8584737865899355
2,10,-11.274371921338709
2,11,-14.983905776799643
2,12,-18.140214869891416
2,13,-20.910098147014992
2,14,-23.446614560026642
2,15,-25.867968820907368
2,16,-28.255638360434208
2,17,-30.665904915396474
2,18,-33.140615219921706
2,19,-35.71536873302596
2,20,-38.43114391050739
2,21,-41.346531723243565
2,22,-44.541948004282865
2,23,-48.11325656327848
2,24,-52.158108890368275
2,25,-56.760584999854984
2,26,-61.980137854728206
2,27,-67.84573886168428
2,28,-74.34853699859873
2,29,-81.42179704264638
2,30,-88.89888707363619
2,31,-96.453997127372
2,32,-103.54627350972297
2,33,-109.39006292840907
2,34,-112.97227007227409
2,35,-113.14336075659375
2,36,-108.79948027242415
2,37,-99.13421229409006
2,38,-83.89226737770063
2,39,-63.534846614013915
2,40,-39.24268233014287
2,41,-12.73609826578728
2,42,14.03884552995299
2,43,39.25904553059795
2,44,61.50595616994538
2,45,79.91610641181687
2,46,94.18908360657416
2,47,104.48561249846792
2,48,111.26558157923752
2,49,115.10940417871667
2,50,116.56065965655746
2,51,116.02719956113235
2,52,113.76058712851568
2,53,109.89944349941742
2,54,104.53843812599273
2,55,97.78649235130318
2,56,89.79653272757821
2,57,80.77136320773737
2,58,70.96046965904682
2,59,60.653596137017296
2,60,50.16551360184938
2,61,39.80868412562597
2,62,29.860660981031746
2,63,20.541262036465298
2,64,12.014719637133586
2,65,4.415446267041403
2,66,-2.1303623036969035
2,67,-7.520576267744489
2,68,-11.734108441337018
2,69,-14.895573303214489
2,70,-17.30216327798216
2,71,-19.384132083961575
2,72,-21.60211778744261
2,73,-24.31776486617142
2,74,-27.69381091858306
2,75,-31.666638619397013
2,76,-35.99141905228026
2,77,-40.329178726131914
2,78,-44.3498383139627
2,79,-47.834430695613634
2,80,-50.751475893337755
2,81,-53.281049199987756
2,82,-55.78149031653805
2,83,-58.71757108506737
2,84,-62.573953587746885
2,85,-67.76583133334613
2,86,-74.54676553184756
2,87,-82.91512346284291
2,88,-92.53213377160996
2,89,-102.67588040499206
2,90,-112.25809765649879
2,91,-119.91775068937305
2,92,-124.18199763719372
2,93,-123.6699489405514
2,94,-117.31473149835337
2,95,-104.5779226362284
2,96,-85.61651197214321
2,97,-61.34875381358153
2,98,-33.3698351373862
2,99,-3.7055463116476943
3,0,68.07677854846585
3,1,57.408820657796575
3,2,47.00154547706886
3,3,37.02970557470678
3,4,27.64868424686488
3,5,18.985139845696537
3,6,11.125844314216726
3,7,4.1073226261151214
3,8,-2.093663458409274
3,9,-7.559898638954701
3,10,-12.41597846061485
3,11,-16.8009129203152
3,12,-20.84577525277913
3,13,-24.66356841025511
3,14,-28.349512969357473
3,15,-31.98358488336941
3,16,-35.629209545168834
3,17,-39.33046257469921
3,18,-43.11037981424097
3,19,-46.97121235953882
3,20,-50.90007626739659
3,21,-54.87829117658376
3,22,-58.88963978172068
3,23,-62.93407225960278
3,24,-67.0575588863688
3,25,-71.39221035844407
3,26,-76.17820676452875
3,27,-81.73308883355116
3,28,-88.35853834483724
3,29,-96.21003838654595
3,30,-105.16520289345527
3,31,-114.717009394685
3,32,-123.91772572002432
3,33,-131.40512134925586
3,34,-135.53515055969802
3,35,-134.62387577546684
3,36,-127.27035852606949
3,37,-112.69496622333239
3,38,-90.99851936666427
3,39,-63.247480355361404
3,40,-31.335456004388597
3,41,2.3483911169888962
3,42,35.34518230086202
3,43,65.52744743539466
3,44,91.37886600797106
3,45,112.10514078582668
3,46,127.58685502721818
3,47,138.22442002384426
3,48,144.7330556429317
3,49,147.93506273986833
3,50,148.5842691814541
3,51,147.24831608587948
3,52,144.2613523520317
3,53,139.74300532677273
3,54,133.66713046653015
3,55,125.95553580725121
3,56,116.57180407606496
3,57,105.60082582484566
3,58,93.30212770457014
3,59,80.1154322910487
3,60,66.60354688548315
3,61,53.349986752024556
3,62,40.854288585266175
3,63,29.462184636932662
3,64,19.3443751263037
3,65,10.51766185024344
3,66,2.8905979174417027
3,67,-3.68789195075354
3,68,-9.392175842908918
3,69,-14.398391885776416
3,70,-18.87377525522363
3,71,-22.97607168283314
3,72,-26.861203687639048
3,73,-30.68667075483608
3,74,-34.596180337063544
3,75,-38.689550833751085
3,76,-42.999520237584456
3,77,-47.49206978050082
3,78,-52.08986110685225
3,79,-56.70509920179344
3,80,-61.26443956057589
3,81,-65.72092813929758
3,82,-70.0649175839576
3,83,-74.34397139656863
3,84,-78.68592472922535
3,85,-83.30809749361632
3,86,-88.4925541431833
3,87,-94.51896563104772
3,88,-101.57106787983068
3,89,-109.6412388048083
3,90,-118.44497956560518
3,91,-127.35265363111743
3,92,-135.35663757224387
3,93,-141.100773160133
3,94,-142.99902096885245
3,95,-139.45725289119758
3,96,-129.18058703712387
3,97,-111.50640635805925
3,98,-86.6658558702393
3,99,-55.86787968514781
4,0,85.09708683242968
4,1,71.41753773741506
4,2,58.24300584485049
4,3,45.88062555985908
4,4,34.527232218991635
4,5,24.2664304139093
4,6,15.083111308414164
4,7,6.893413471535742
4,8,-0.4184937221723988
4,9,-6.971773345163459
4,10,-12.880770458993629
4,11,-18.264954649502062
4,12,-23.261361440734905
4,13,-28.023615613357258
4,14,-32.70259714591692
4,15,-37.41928675688971
4,16,-42.24992580653148
4,17,-47.233936467544815
4,18,-52.39013678603581
4,19,-57.717719026118786
4,20,-63.17829345588795
4,21,-68.6785006569307
4,22,-74.07817522561353
4,23,-79.23506183447947
4,24,-84.07212622436336
4,25,-88.63768546847123
4,26,-93.13293854623188
4,27,-97.89449824620299
4,28,-103.32746277797735
4,29,-109.78995131783576
4,30,-117.44449394556048
4,31,-126.10992704349492
4,32,-135.15295459466293
4,33,-143.45425738396435
4,34,-149.47707393490128
4,35,-151.44748695587492
4,36,-147.62585037959096
4,37,-136.6265060901829
4,38,-117.73230864613834
4,39,-91.13582486421454
4,40,-58.026987215493286
4,41,-20.47132547305946
4,42,18.910167236286238
4,43,57.37649026618759
4,44,92.4979551611265
4,45,122.47793469778325
4,46,146.3075787133785
4,47,163.74810897116672
4,48,175.17791654173416
